Assists_Position,NAME,TEAM,ASSISTS,GAMES,ASSISTS PER MATCH
1,ÁLEX BAENA,VILLARREAL CF,9,27,0.33
2,NICHOLAS WILLIAMS ARTHUER,ATHLETIC CLUB,8,24,0.33
2,ROBERT LEWANDOWSKI,FC BARCELONA,8,28,0.29
4,YAN BUENO COUTO,GIRONA FC,7,28,0.25
4,SÁVIO MOREIRA DE OLIVEIRA,GIRONA FC,7,29,0.24
4,FEDERICO VALVERDE,REAL MADRID,7,30,0.23
4,TONI KROOS,REAL MADRID,7,29,0.24
4,RAPHAEL DIAS BELLOLI,FC BARCELONA,7,22,0.32
4,DIEGO RICO,GETAFE CF,7,25,0.28
10,ALEIX GARCÍA,GIRONA FC,6,29,0.21
10,IAGO ASPAS,RC CELTA,6,27,0.22
10,ILKAY GÜNDOGAN,FC BARCELONA,6,30,0.2
10,ANTOINE GRIEZMANN,ATLÉTICO DE MADRID,6,26,0.23
14,LUCAS ROBERTONE,UD ALMERÍA,5,26,0.19
14,LARGIE RAMAZANI,UD ALMERÍA,5,27,0.19
14,DIEGO LÓPEZ,VALENCIA CF,5,28,0.18
14,BRAIS MÉNDEZ,REAL SOCIEDAD,5,27,0.19
14,ARTEM DOVBYK,GIRONA FC,5,28,0.18
14,OIHAN SANCET,ATHLETIC CLUB,5,27,0.19
14,RODRYGO SILVA DE GOES,REAL MADRID,5,30,0.17
14,MANU SÁNCHEZ,RC CELTA,5,24,0.21
14,ALEXANDER SØRLOTH,VILLARREAL CF,5,26,0.19
14,SAÚL ÑÍGUEZ,ATLÉTICO DE MADRID,5,29,0.17
14,RODRIGO RIQUELME,ATLÉTICO DE MADRID,5,26,0.19
14,MASON GREENWOOD,GETAFE CF,5,25,0.2
26,FRAN PÉREZ,VALENCIA CF,4,30,0.13
26,SERGI DARDER,RCD MALLORCA,4,28,0.14
26,DANI RODRÍGUEZ,RCD MALLORCA,4,28,0.14
26,VIKTOR TSYGANKOV,GIRONA FC,4,24,0.17
26,MIGUEL GUTIÉRREZ,GIRONA FC,4,28,0.14
26,ÓSCAR DE MARCOS,ATHLETIC CLUB,4,23,0.17
26,LUKA MODRIC,REAL MADRID,4,25,0.16
26,FRAN GARCÍA,REAL MADRID,4,20,0.2
26,VINÍCIUS JOSÉ PAIXÃO DE OLIVEIRA JÚNIOR,REAL MADRID,4,20,0.2
26,JUDE BELLINGHAM,REAL MADRID,4,23,0.17
26,LUCA DE LA TORRE,RC CELTA,4,26,0.15
26,GERARD MORENO,VILLARREAL CF,4,27,0.15
26,DANI PAREJO,VILLARREAL CF,4,25,0.16
26,JESÚS ARESO,CA OSASUNA,4,29,0.14
26,RODRIGO DE PAUL,ATLÉTICO DE MADRID,4,26,0.15
26,LUIS RIOJA,DEPORTIVO ALAVÉS,4,30,0.13
26,JON GURIDI,DEPORTIVO ALAVÉS,4,29,0.14
26,ADRIÀ PEDROSA,SEVILLA FC,4,26,0.15
26,CRISTIAN PORTUGUÉS MANZANERA,GIRONA FC,4,28,0.14
26,ISAAC ROMERO,SEVILLA FC,4,11,0.36
46,JESÚS JOAQUÍN FERNÁNDEZ SÁENZ DE LA TORRE,SEVILLA FC,3,24,0.13
46,SERGIO ARRIBAS,UD ALMERÍA,3,29,0.1
46,SANDRO RAMÍREZ,UD LAS PALMAS,3,19,0.16
46,JAVI MUÑOZ,UD LAS PALMAS,3,29,0.1
46,TAKEFUSA KUBO,REAL SOCIEDAD,3,23,0.13
46,GORKA GURUZETA,ATHLETIC CLUB,3,29,0.1
46,IÑAKI WILLIAMS,ATHLETIC CLUB,3,27,0.11
46,JON MONCAYOLA,CA OSASUNA,3,26,0.12
46,LAMINE YAMAL,FC BARCELONA,3,29,0.1
46,WILLIAN JOSÉ DA SILVA,REAL BETIS,3,26,0.12
46,FRANCISCO ROMÁN ALARCÓN SUÁREZ,REAL BETIS,3,24,0.13
46,LUIZ HENRIQUE ANDRÉ ROSA DA SILVA,REAL BETIS,3,14,0.21
46,MARCOS LLORENTE,ATLÉTICO DE MADRID,3,30,0.1
46,JORGE RESURRECCIÓN MERODIO,ATLÉTICO DE MADRID,3,27,0.11
46,JAVI LÓPEZ,DEPORTIVO ALAVÉS,3,26,0.12
46,GERARD GUMBAU,GRANADA CF,3,27,0.11
46,GONZALO VILLAR,GRANADA CF,3,27,0.11
46,LUCAS VÁZQUEZ,REAL MADRID,3,23,0.13
46,BRAHIM DÍAZ,REAL MADRID,3,25,0.12
46,MIKEL MERINO,REAL SOCIEDAD,3,25,0.12
46,NAHUEL MOLINA,ATLÉTICO DE MADRID,3,26,0.12
46,LUCAS BOYÉ,GRANADA CF,3,23,0.13
46,JOÃO FÉLIX SEQUEIRA,FC BARCELONA,3,23,0.13
46,JOÃO PEDRO CAVACO CANCELO,FC BARCELONA,3,25,0.12
46,WILLIAM SILVA DE CARVALHO,REAL BETIS,3,17,0.18
46,ALBERTO MOLEIRO,UD LAS PALMAS,3,20,0.15
46,CHIMY ÁVILA,REAL BETIS,3,23,0.13
46,JONATHAN VIERA,UD ALMERÍA,3,15,0.2
74,LUCAS OCAMPOS,SEVILLA FC,2,27,0.07
74,JUANLU SÁNCHEZ,SEVILLA FC,2,21,0.1
74,HUGO DURO,VALENCIA CF,2,30,0.07
74,JOSÉ GAYÀ,VALENCIA CF,2,22,0.09
74,THIERRY RENDALL CORREIA,VALENCIA CF,2,23,0.09
74,UNAI LÓPEZ,RAYO VALLECANO,2,27,0.07
74,KIRIAN RODRÍGUEZ,UD LAS PALMAS,2,29,0.07
74,SERGI CARDONA,UD LAS PALMAS,2,29,0.07
74,IGOR ZUBELDIA,REAL SOCIEDAD,2,28,0.07
74,MIKEL OYARZABAL,REAL SOCIEDAD,2,25,0.08
74,HAMARI TRAORÉ,REAL SOCIEDAD,2,25,0.08
74,AIHEN MUÑOZ,REAL SOCIEDAD,2,21,0.1
74,PABLO MAFFEO,RCD MALLORCA,2,17,0.12
74,CYLE LARIN,RCD MALLORCA,2,28,0.07
74,VEDAT MURIQI,RCD MALLORCA,2,22,0.09
