Pass_Position,NAME,TEAM,Completed Pass,Total Pass
1,KIRIAN RODRÍGUEZ,UD LAS PALMAS,2082,2327
2,ALEIX GARCÍA,GIRONA FC,1968,2148
3,TONI KROOS,REAL MADRID,1959,2074
4,MIKA MÁRMOL,UD LAS PALMAS,1785,1997
5,JULES KOUNDÉ,FC BARCELONA,1753,1928
6,DALEY BLIND,GIRONA FC,1704,1899
7,ILKAY GÜNDOGAN,FC BARCELONA,1667,1863
8,FEDERICO VALVERDE,REAL MADRID,1617,1775
9,JORGE RESURRECCIÓN MERODIO,ATLÉTICO DE MADRID,1550,1706
10,IGOR ZUBELDIA,REAL SOCIEDAD,1372,1624
11,FRENKIE DE JONG,FC BARCELONA,1508,1621
12,JOSÉ LUIS GARCÍA VAYÁ,VALENCIA CF,1318,1616
13,ERIC GARCÍA,GIRONA FC,1439,1593
14,FLORIAN LEJEUNE,RAYO VALLECANO,1284,1569
15,AXEL WITSEL,ATLÉTICO DE MADRID,1421,1547
16,ANTONIO RÜDIGER,REAL MADRID,1355,1506
17,SERGI CARDONA,UD LAS PALMAS,1224,1492
18,UNAI NÚÑEZ,RC CELTA,1156,1469
19,ÁLVARO VALLÉS,UD LAS PALMAS,1143,1448
20,MARIO HERMOSO,ATLÉTICO DE MADRID,1255,1441
21,MARTÍN ZUBIMENDI,REAL SOCIEDAD,1230,1426
22,DANI PAREJO,VILLARREAL CF,1276,1411
23,ROBIN LE NORMAND,REAL SOCIEDAD,1215,1369
24,IGNASI MIQUEL,GRANADA CF,1130,1358
25,DANI VIVIAN,ATHLETIC CLUB,1112,1332
26,RONALD ARAUJO,FC BARCELONA,1173,1317
27,AURÉLIEN TCHOUAMÉNI,REAL MADRID,1212,1315
28,GERMÁN PEZZELLA,REAL BETIS,1122,1307
29,ANDREAS CHRISTENSEN,FC BARCELONA,1230,1293
30,MIGUEL GUTIÉRREZ,GIRONA FC,1126,1280
31,ANDER GUEVARA,DEPORTIVO ALAVÉS,975,1275
32,JOÃO PEDRO CAVACO CANCELO,FC BARCELONA,1059,1266
33,AITOR PAREDES,ATHLETIC CLUB,1060,1250
34,IVÁN MARTÍN,GIRONA FC,1147,1246
35,DAVID GARCÍA,CA OSASUNA,1029,1235
36,JUDE BELLINGHAM,REAL MADRID,1093,1224
37,CRISTHIAN MOSQUERA,VALENCIA CF,1072,1214
38,RODRIGO DE PAUL,ATLÉTICO DE MADRID,1010,1170
39,DAVID LÓPEZ,GIRONA FC,1055,1146
40,RUBÉN ALCARAZ,CÁDIZ CF,914,1132
41,FRANCISCO ROMÁN ALARCÓN SUÁREZ,REAL BETIS,955,1110
42,ÁLEX SUÁREZ,UD LAS PALMAS,957,1101
43,ÓSCAR MINGUEZA,RC CELTA,874,1099
44,EDGAR GONZÁLEZ,UD ALMERÍA,932,1092
44,MÁXIMO PERRONE,UD LAS PALMAS,987,1092
46,SAÚL COCO,UD LAS PALMAS,970,1089
47,MARC ROCA,REAL BETIS,915,1080
48,SERGIO RAMOS,SEVILLA FC,948,1074
49,DANI CARVAJAL,REAL MADRID,931,1063
50,RAÚL ALBIOL,VILLARREAL CF,913,1061
51,GABRIEL ARMANDO DE ABREU,ATLÉTICO DE MADRID,912,1057
52,UNAI LÓPEZ,RAYO VALLECANO,885,1051
53,GERARD GUMBAU,GRANADA CF,816,1045
54,LUKA MODRIC,REAL MADRID,943,1042
55,ÓSCAR VALENTÍN,RAYO VALLECANO,834,1032
56,MIKEL MERINO,REAL SOCIEDAD,790,1031
57,HAMARI TRAORÉ,REAL SOCIEDAD,874,1030
58,ALFONSO ESPINO,RAYO VALLECANO,772,1024
59,ALEJANDRO CATENA,CA OSASUNA,830,1015
59,CARLOS NEVA,GRANADA CF,779,1015
61,JAVI MUÑOZ,UD LAS PALMAS,833,1011
62,SERGIO RUIZ,GRANADA CF,849,987
63,ANTOINE GRIEZMANN,ATLÉTICO DE MADRID,808,976
64,FERLAND MENDY,REAL MADRID,916,972
65,PAULO GAZZANIGA,GIRONA FC,719,965
66,EDUARDO CAMAVINGA,REAL MADRID,875,962
67,LUCAS ROBERTONE,UD ALMERÍA,787,960
68,FRAN BELTRÁN,RC CELTA,811,947
69,BRAIS MÉNDEZ,REAL SOCIEDAD,759,946
70,ÍÑIGO RUÍZ DE GALARRETA,ATHLETIC CLUB,774,942
71,YAN BUENO COUTO,GIRONA FC,773,941
72,MOI GÓMEZ,CA OSASUNA,783,938
73,IVAN RAKITIC,SEVILLA FC,762,936
74,LOÏC BADÉ,SEVILLA FC,759,934
75,DAVID SORIA,GETAFE CF,434,933
76,JORGE CUENCA,VILLARREAL CF,788,932
77,NEMANJA GUDELJ,SEVILLA FC,802,930
78,BOUBAKARY SOUMARÉ,SEVILLA FC,835,926
79,ÓSCAR DE MARCOS,ATHLETIC CLUB,760,922
80,ENZO LOIODICE,UD LAS PALMAS,766,917
81,PREDRAG RAJKOVIC,RCD MALLORCA,505,914
81,AIMAR OROZ,CA OSASUNA,752,914
83,JOSÉ IGNACIO FERNÁNDEZ IGLESIAS,REAL MADRID,835,905
84,LUÍS MANUEL ARANTES MAXIMIANO,UD ALMERÍA,550,904
85,FILIP JØRGENSEN,VILLARREAL CF,674,886
86,NAHUEL MOLINA,ATLÉTICO DE MADRID,685,884
87,ÁLEX REMIRO,REAL SOCIEDAD,667,882
88,ANTONIO SIVERA,DEPORTIVO ALAVÉS,485,881
88,PAU CUBARSÍ,FC BARCELONA,809,881
90,DAVID ALABA,REAL MADRID,803,878
90,GERARD MORENO,VILLARREAL CF,697,878
92,CONAN LEDESMA,CÁDIZ CF,468,872
93,SAMUEL DE ALMEIDA COSTA,RCD MALLORCA,670,869
94,UNAI SIMÓN,ATHLETIC CLUB,464,863
95,SERGIO HERRERA,CA OSASUNA,516,856
96,ISI PALAZÓN,RAYO VALLECANO,630,848
97,ANDONI GOROSABEL,DEPORTIVO ALAVÉS,688,845
98,STOLE DIMITRIEVSKI,RAYO VALLECANO,464,844
99,IVÁN BALLIU,RAYO VALLECANO,646,841
99,RODRYGO SILVA DE GOES,REAL MADRID,753,841
99,IAGO ASPAS,RC CELTA,662,841
99,RAFA MARÍN,DEPORTIVO ALAVÉS,699,841
103,CARL STARFELT,RC CELTA,733,840
103,CHADI RIAD,REAL BETIS,744,840
105,DIEGO RICO,GETAFE CF,567,838
106,ANTONIO BLANCO,DEPORTIVO ALAVÉS,651,831
107,MARCOS LLORENTE,ATLÉTICO DE MADRID,690,829
108,NEMANJA MAKSIMOVIC,GETAFE CF,667,824
109,JUAN BRANDÁRIZ MOVILLA,UD ALMERÍA,704,812
109,YURI BERCHICHE,ATHLETIC CLUB,662,812
111,THIERRY RENDALL CORREIA,VALENCIA CF,608,805
112,GONZALO VILLAR,GRANADA CF,671,803
113,LUIS MILLA,GETAFE CF,663,802
114,DJENÉ DAKONAM,GETAFE CF,627,797
115,ÍÑIGO MARTÍNEZ,FC BARCELONA,703,794
116,ÁLEX BAENA,VILLARREAL CF,619,793
117,YANGEL HERRERA,GIRONA FC,690,785
118,GIOVANNI GONZÁLEZ,RCD MALLORCA,592,782
119,PEDRO GONZÁLEZ LÓPEZ,FC BARCELONA,676,780
120,JOSÉ GAYÀ,VALENCIA CF,618,779
121,DION LOPY,UD ALMERÍA,653,777
122,RAFAEL JIMÉNEZ JARQUE,CÁDIZ CF,582,767
123,MATIJA NASTASIC,RCD MALLORCA,609,763
124,GUIDO RODRÍGUEZ,REAL BETIS,662,762
125,GIORGI MAMARDASHVILI,VALENCIA CF,356,761
126,STEFAN SAVIC,ATLÉTICO DE MADRID,640,759
127,JON MONCAYOLA,CA OSASUNA,613,758
128,ÉTIENNE CAPOUE,VILLARREAL CF,655,755
129,ÍÑIGO LEKUE,ATHLETIC CLUB,596,753
129,IZA CARCELÉN,CÁDIZ CF,559,753
131,ÓLIVER TORRES,SEVILLA FC,621,747
132,JON PACHECO,REAL SOCIEDAD,646,744
133,JESÚS NAVAS,SEVILLA FC,563,733
134,CÉSAR MONTES,UD ALMERÍA,559,732
135,LUCAS OCAMPOS,SEVILLA FC,525,731
136,MARTIN VALJENT,RCD MALLORCA,586,730
137,SÁVIO MOREIRA DE OLIVEIRA,GIRONA FC,594,726
138,JESÚS ARESO,CA OSASUNA,586,723
139,ARIDANE HERNÁNDEZ,RAYO VALLECANO,616,721
140,PABLO BARRIOS,ATLÉTICO DE MADRID,614,717
141,JAVI GUERRA,VALENCIA CF,533,716
142,RICARD SÁNCHEZ,GRANADA CF,535,709
143,SAMUEL DIAS LINO,ATLÉTICO DE MADRID,585,707
144,GASTÓN ÁLVAREZ,GETAFE CF,521,705
145,JONATHAN VIERA,UD ALMERÍA,629,703
146,LAMINE YAMAL,FC BARCELONA,580,697
146,VICTOR CHUST,CÁDIZ CF,560,697
148,ANTONIO RAÍLLO,RCD MALLORCA,590,696
149,MIKEL VESGA,ATHLETIC CLUB,540,693
150,JAVI HERNÁNDEZ,CÁDIZ CF,492,692
151,OMAR ALDERETE,GETAFE CF,438,691
152,OIHAN SANCET,ATHLETIC CLUB,571,689
153,ORIOL ROMEU,FC BARCELONA,617,688
154,PATHÉ CISS,RAYO VALLECANO,570,687
155,LUCAS VÁZQUEZ,REAL MADRID,612,686
156,JOHAN MOJICA,CA OSASUNA,526,683
157,HÉCTOR BELLERÍN,REAL BETIS,536,676
158,DJIBRIL SOW,SEVILLA FC,579,675
159,ALEJANDRO BALDE,FC BARCELONA,592,669
160,JAN OBLAK,ATLÉTICO DE MADRID,471,666
161,LUCA DE LA TORRE,RC CELTA,550,665
162,KIKE SALAS,SEVILLA FC,517,664
163,CÉSAR AZPILICUETA,ATLÉTICO DE MADRID,576,660
163,RENATO TAPIA,RC CELTA,503,660
163,MASON GREENWOOD,GETAFE CF,530,660
166,IÑAKI WILLIAMS,ATHLETIC CLUB,477,656
167,MARC-ANDRÉ TER STEGEN,FC BARCELONA,576,651
168,RUI TIAGO DANTAS DA SILVA,REAL BETIS,430,645
169,JUAN CRUZ ÁLVARO ARMADA,CA OSASUNA,524,644
170,JON GURIDI,DEPORTIVO ALAVÉS,510,643
171,SERGI DARDER,RCD MALLORCA,504,641
172,JAVI LÓPEZ,DEPORTIVO ALAVÉS,458,639
173,IDDRISU BABA,UD ALMERÍA,533,638
174,ABDEL ABQAR,DEPORTIVO ALAVÉS,469,637
174,RAÚL TORRENTE,GRANADA CF,508,637
176,JESÚS JOAQUÍN FERNÁNDEZ SÁENZ DE LA TORRE,SEVILLA FC,540,635
176,LUCAS TORRÓ,CA OSASUNA,480,635
176,IKER MUÑOZ,CA OSASUNA,483,635
179,SANTI COMESAÑA,VILLARREAL CF,555,634
180,VIKTOR TSYGANKOV,GIRONA FC,525,632
181,DIMITRI FOULQUIER,VALENCIA CF,452,628
182,JUAN MIRANDA,REAL BETIS,521,627
183,CENK ÖZKACAR,VALENCIA CF,508,622
183,AÏSSA MANDI,VILLARREAL CF,572,622
185,DANI RODRÍGUEZ,RCD MALLORCA,471,617
186,MUNIR EL HADDADI,UD LAS PALMAS,496,611
187,LUIS RIOJA,DEPORTIVO ALAVÉS,453,608
188,SAÚL ÑÍGUEZ,ATLÉTICO DE MADRID,493,606
189,JULIÁN ARAUJO,UD LAS PALMAS,507,605
190,JONATHAN BAMBA,RC CELTA,482,602
191,FRAN GARCÍA,REAL MADRID,531,598
191,MANU SÁNCHEZ,RC CELTA,458,598
193,SERGIO AKIEME,UD ALMERÍA,474,594
194,MANU MORLANES,RCD MALLORCA,495,592
195,ARNAU MARTÍNEZ,GIRONA FC,521,579
196,JUAN FOYTH,VILLARREAL CF,477,575
197,ADRI EMBARBA,UD ALMERÍA,426,574
198,OMAR MASCARELL,RCD MALLORCA,465,571
199,ÁLVARO GARCÍA,RAYO VALLECANO,381,564
200,KIKO FEMENÍA,VILLARREAL CF,471,562
201,ADRIÀ PEDROSA,SEVILLA FC,437,560
202,CARLOS DOMÍNGUEZ,RC CELTA,433,558
203,KIERAN TIERNEY,REAL SOCIEDAD,441,557
204,TAKEFUSA KUBO,REAL SOCIEDAD,449,556
205,GORKA GURUZETA,ATHLETIC CLUB,378,553
205,RUBÉN PEÑA,CA OSASUNA,392,553
207,SERGIO ARRIBAS,UD ALMERÍA,453,550
207,DIEGO LÓPEZ,VALENCIA CF,369,550
209,HUGO GUILLAMÓN,VALENCIA CF,447,549
210,MOUCTAR DIAKHABY,VALENCIA CF,475,545
211,ANDER HERRERA,ATHLETIC CLUB,464,541
211,ABNER VINÍCIUS DA SILVA SANTOS,REAL BETIS,438,541
213,BRAHIM DÍAZ,REAL MADRID,466,538
214,BORJA MAYORAL,GETAFE CF,414,533
215,ÓSCAR TREJO,RAYO VALLECANO,442,527
216,PABLO MARTÍN PÁEZ GAVIRA,FC BARCELONA,481,526
217,BEÑAT PRADOS,ATHLETIC CLUB,440,523
218,JOÃO FÉLIX SEQUEIRA,FC BARCELONA,437,522
218,VICENTE GUAITA,RC CELTA,320,522
220,MIGUEL RUBIO,GRANADA CF,413,518
221,RUBÉN DUARTE,DEPORTIVO ALAVÉS,365,512
222,JUAN PEDRO RAMÍREZ LÓPEZ,GIRONA FC,464,510
223,AIHEN MUÑOZ,REAL SOCIEDAD,391,506
224,FRAN PÉREZ,VALENCIA CF,403,503
225,WILLIAM SILVA DE CARVALHO,REAL BETIS,443,502
226,VINÍCIUS JOSÉ PAIXÃO DE OLIVEIRA JÚNIOR,REAL MADRID,391,500
227,VEDAT MURIQI,RCD MALLORCA,312,499
228,JØRGEN STRAND LARSEN,RC CELTA,335,482
229,RAPHAEL DIAS BELLOLI,FC BARCELONA,385,481
230,DAMIÁN SUÁREZ,GETAFE CF,340,480
231,GONZALO ESCALANTE,CÁDIZ CF,360,479
232,ANDRIY LUNIN,REAL MADRID,405,474
233,MARC PUBILL,UD ALMERÍA,362,473
233,MARVIN OLAWALE AKINLABI PARK,UD LAS PALMAS,385,473
235,AYOZE PÉREZ,REAL BETIS,367,472
236,JAUME COSTA,RCD MALLORCA,356,471
237,NICHOLAS WILLIAMS ARTHUER,ATHLETIC CLUB,375,470
238,JUANLU SÁNCHEZ,SEVILLA FC,389,469
239,LUCAS PIRES SILVA,CÁDIZ CF,351,460
240,HUGO DURO,VALENCIA CF,339,458
241,ROBERT LEWANDOWSKI,FC BARCELONA,322,454
242,MARCOS ACUÑA,SEVILLA FC,369,453
242,JUAN IGLESIAS,GETAFE CF,294,453
242,ALBERTO MORENO,VILLARREAL CF,376,453
242,RUBÉN GARCÍA,CA OSASUNA,324,453
246,RODRIGO RIQUELME,ATLÉTICO DE MADRID,365,452
247,ABDUL MUMIN,RAYO VALLECANO,359,451
248,ALBERTO MOLEIRO,UD LAS PALMAS,361,450
249,AUGUSTO BATALLA,GRANADA CF,262,448
250,SANDRO RAMÍREZ,UD LAS PALMAS,369,447
250,YERAY ÁLVAREZ,ATHLETIC CLUB,363,447
252,JOSÉ MANUEL ARIAS COPETE,RCD MALLORCA,339,439
253,AITOR RUIBAL,REAL BETIS,346,436
254,ØRJAN NYLAND,SEVILLA FC,229,435
255,WILLIAN JOSÉ DA SILVA,REAL BETIS,342,433
255,ANTONIO LATORRE GRUESO,RCD MALLORCA,332,433
257,ÁLEX FERNÁNDEZ,CÁDIZ CF,365,430
258,RODRIGO SÁNCHEZ RODRÍGUEZ,REAL BETIS,356,422
258,LUCAS BOYÉ,GRANADA CF,309,422
260,JOSÉ GIMÉNEZ,ATLÉTICO DE MADRID,350,413
261,ANTE BUDIMIR,CA OSASUNA,222,410
261,ANDRÉ FILIPE MAGALHÃES RIBEIRO FERREIRA,GRANADA CF,272,410
261,ROMINIGUE KOUAMÉ,CÁDIZ CF,354,410
264,ALEKSANDAR SEDLAR,DEPORTIVO ALAVÉS,342,403
265,ANTONIO SÁNCHEZ,RCD MALLORCA,290,401
266,ADRIÀ ALTI,VILLARREAL CF,334,400
267,FERMÍN LÓPEZ,FC BARCELONA,330,396
268,JAIME MATA,GETAFE CF,267,391
269,RUBÉN SOBRINO,CÁDIZ CF,292,389
270,BEÑAT TURRIENTES,REAL SOCIEDAD,329,388
271,ÁLEX POZO,UD ALMERÍA,297,385
272,CHRIS RAMOS,CÁDIZ CF,222,382
273,ALFONSO PEDRAZA,VILLARREAL CF,303,381
274,ANDER BARRENETXEA,REAL SOCIEDAD,270,380
275,GONZALO MELERO,UD ALMERÍA,314,379
276,MIKEL OYARZABAL,REAL SOCIEDAD,292,378
277,DOMINGOS DE SOUSA COUTINHO MENESES DUARTE,GETAFE CF,292,376
278,HUGO SOTELO,RC CELTA,344,375
279,BRUNO MÉNDEZ,GRANADA CF,271,374
280,SOKRATIS PAPASTATHOPOULOS,REAL BETIS,325,366
281,ÓSCAR MELENDO,GRANADA CF,299,364
281,SERGI ROBERTO,FC BARCELONA,336,364
281,ROBERT NAVARRO,CÁDIZ CF,278,364
284,JAVI GALÁN,REAL SOCIEDAD,297,363
285,PABLO FORNALS,REAL BETIS,276,359
286,CHIMY ÁVILA,REAL BETIS,256,357
287,NABIL FEKIR,REAL BETIS,301,354
288,PEP CHAVARRÍA,RAYO VALLECANO,280,353
288,PABLO TORRE,GIRONA FC,299,353
290,MIHAILO RISTIC,RC CELTA,258,351
291,LEONARDO MICALI CARRILHO BAPTISTÃO,UD ALMERÍA,220,348
292,FERRAN TORRES,FC BARCELONA,275,347
292,KEPA ARRIZABALAGA REVUELTA,REAL MADRID,289,347
294,ALEX BERENGUER,ATHLETIC CLUB,243,344
295,JORGE HERRANDO,CA OSASUNA,271,343
296,ALEXANDER SØRLOTH,VILLARREAL CF,253,339
296,ÁLVARO MORATA,ATLÉTICO DE MADRID,243,339
298,BRYAN ZARAGOZA,GRANADA CF,221,337
299,ILIAS AKHOMACH,VILLARREAL CF,267,334
300,JOHNNY CARDOSO,REAL BETIS,278,332
301,KIKE PÉREZ,RAYO VALLECANO,259,326
302,CARLOS DOTOR,RC CELTA,273,324
303,MARKO DMITROVIC,SEVILLA FC,222,323
304,PABLO MAFFEO,RCD MALLORCA,211,322
305,ÁLEX CENTELLES,UD ALMERÍA,237,321
306,ARSEN ZAKHARYAN,REAL SOCIEDAD,237,319
307,ÁNGEL CORREA,ATLÉTICO DE MADRID,255,318
308,JUANMI LATASA,GETAFE CF,165,310
309,FRANCIS COQUELIN,VILLARREAL CF,270,309
310,CARLOS BENAVÍDEZ,DEPORTIVO ALAVÉS,210,304
311,LUIS HERNÁNDEZ,CÁDIZ CF,238,303
312,CARLES ALEÑÁ,GETAFE CF,239,299
313,MATTEO GABBIA,VILLARREAL CF,267,298
314,ARTEM DOVBYK,GIRONA FC,208,292
314,REINILDO ISNARD MANDAVA,ATLÉTICO DE MADRID,255,292
316,YERSON MOSQUERA,VILLARREAL CF,240,290
317,LARGIE RAMAZANI,UD ALMERÍA,185,289
318,PABLO IBÁÑEZ,CA OSASUNA,221,288
318,SERGIO CAMELLO,RAYO VALLECANO,220,288
320,RAMON TERRATS,VILLARREAL CF,240,284
320,ANDRÉS GUARDADO,REAL BETIS,247,284
320,YOUSSOUF SABALY,REAL BETIS,248,284
323,JORGE DE FRUTOS,RAYO VALLECANO,211,281
323,SAMU OMORODION,DEPORTIVO ALAVÉS,205,281
325,IVÁN ALEJO,CÁDIZ CF,175,278
326,ABDE EZZALZOULI,REAL BETIS,200,272
327,JOSÉ LUIS SANMARTÍN MATO,REAL MADRID,204,271
327,ÓSCAR RODRÍGUEZ,GETAFE CF,213,271
329,SERGI ALTIMIRA,REAL BETIS,243,268
330,IKER MUNIAIN,ATHLETIC CLUB,236,264
331,KAIKY FERNANDES MELO,UD ALMERÍA,216,261
332,MYRTO UZUNI,GRANADA CF,203,258
333,ARITZ ELUSTONDO,REAL SOCIEDAD,227,257
334,ÁLEX SOLA,DEPORTIVO ALAVÉS,177,255
335,ASSANE DIAO,REAL BETIS,198,254
336,KEVIN VÁZQUEZ,RC CELTA,184,252
337,STEFAN MITROVIC,GETAFE CF,191,251
337,IGNACIO PEÑA SOTORRES,FC BARCELONA,213,251
339,SERGI CANÓS,VALENCIA CF,165,248
340,CRISTIAN PORTUGUÉS MANZANERA,GIRONA FC,203,247
341,ERIC BAILLY,VILLARREAL CF,214,246
342,DODI LUKÉBAKIO,SEVILLA FC,203,244
343,JOSÉ CALLEJÓN,GRANADA CF,198,243
344,DANIEL GARCÍA CARRILLO,ATHLETIC CLUB,208,242
345,RAÚL DE TOMÁS,RAYO VALLECANO,192,240
346,CYLE LARIN,RCD MALLORCA,157,239
347,FERNANDO FRANCISCO REGES,SEVILLA FC,206,236
348,ROGER MARTÍ,CÁDIZ CF,149,227
348,JOAN JORDÁN,SEVILLA FC,199,227
348,JOSÉ ÁNGEL CARMONA,GETAFE CF,169,227
351,JORGE MERÉ,CÁDIZ CF,165,225
351,MEMPHIS DEPAY,ATLÉTICO DE MADRID,169,225
353,IVÁN VILLAR,RC CELTA,121,223
354,YOUSSEF EN-NESYRI,SEVILLA FC,140,221
355,KIKE GARCÍA,DEPORTIVO ALAVÉS,150,219
356,DARWIN MACHÍS,CÁDIZ CF,153,212
357,FRANCO CERVI,RC CELTA,175,209
357,JON ARAMBURU,REAL SOCIEDAD,175,209
359,IMANOL GARCÍA DE ALBÉNIZ,ATHLETIC CLUB,170,200
360,DOMINGOS ANDRÉ RIBEIRO ALMEIDA,VALENCIA CF,159,199
360,CLAUDIO BRAVO,REAL BETIS,156,199
362,DANI CEBALLOS,REAL MADRID,173,196
363,ABDÓN PRATS,RCD MALLORCA,113,195
364,RAÚL GARCÍA,CA OSASUNA,117,192
364,MAXIMILIANO GÓMEZ,CÁDIZ CF,104,192
366,ÁLVARO FERNÁNDEZ,GRANADA CF,150,191
366,MARTIN HONGLA,GRANADA CF,160,191
368,JOSÉ ARNAIZ,CA OSASUNA,152,185
368,LUIZ HENRIQUE ANDRÉ ROSA DA SILVA,REAL BETIS,138,185
368,NAHUEL TENAGLIA,DEPORTIVO ALAVÉS,133,185
371,MARC CARDONA,UD LAS PALMAS,139,181
371,JOSEPH AIDOO,RC CELTA,142,181
371,MARCOS DO NASCIMENTO TEIXEIRA,SEVILLA FC,164,181
374,FRANCISCO JESÚS CRESPO,UD LAS PALMAS,144,179
375,UMAR SADIQ,REAL SOCIEDAD,128,178
375,UNAI GARCÍA,CA OSASUNA,142,178
377,IANIS HAGI,DEPORTIVO ALAVÉS,130,176
377,ISAAC ROMERO,SEVILLA FC,132,176
379,JHON SOLÍS,GIRONA FC,145,174
380,JOSÉ ANTONIO RODRÍGUEZ DÍAZ,GRANADA CF,134,173
