Team POSITION,TEAM,GOALS SCORED,GOALS CONCEDED,SHOTS ON TRAGET,FOULS,YEELLOW_CARDS,RED CARDS
1,CÁDIZ CF,21,41,94,480,88,6
2,RAYO VALLECANO,25,38,128,483,84,4
3,RCD MALLORCA,25,36,108,478,85,3
4,DEPORTIVO ALAVÉS,26,38,108,386,63,1
5,UD LAS PALMAS,29,35,100,332,71,5
6,UD ALMERÍA,30,62,124,405,72,4
7,GRANADA CF,32,60,117,413,78,3
8,VALENCIA CF,33,32,106,384,50,4
9,RC CELTA,33,46,124,379,50,5
10,CA OSASUNA,36,43,103,427,63,4
11,GETAFE CF,37,43,125,527,111,8
12,REAL BETIS,38,37,119,353,72,3
13,SEVILLA FC,39,44,137,389,87,4
14,REAL SOCIEDAD,45,33,131,499,81,2
15,VILLARREAL CF,49,54,137,405,85,6
16,ATHLETIC CLUB,51,29,147,428,65,3
17,ATLÉTICO DE MADRID,59,36,177,362,67,4
18,FC BARCELONA,62,34,182,338,71,2
19,GIRONA FC,63,39,153,351,65,1
20,REAL MADRID,67,20,200,304,55,4
