Position,NAME,TEAM,GOALS SCORED,GAMES,GOALS PER MATCH
1,ARTEM DOVBYK,GIRONA FC,16,28,0.57
1,JUDE BELLINGHAM,REAL MADRID,16,23,0.7
1,ANTE BUDIMIR,CA OSASUNA,16,30,0.53
4,BORJA MAYORAL,GETAFE CF,15,27,0.56
5,ALEXANDER SØRLOTH,VILLARREAL CF,14,26,0.54
5,ÁLVARO MORATA,ATLÉTICO DE MADRID,14,27,0.52
7,GORKA GURUZETA,ATHLETIC CLUB,13,29,0.45
7,ROBERT LEWANDOWSKI,FC BARCELONA,13,28,0.46
9,HUGO DURO,VALENCIA CF,12,30,0.4
9,VINÍCIUS JOSÉ PAIXÃO DE OLIVEIRA JÚNIOR,REAL MADRID,12,20,0.6
11,ANTOINE GRIEZMANN,ATLÉTICO DE MADRID,11,26,0.42
12,YOUSSEF EN-NESYRI,SEVILLA FC,10,25,0.4
12,RODRYGO SILVA DE GOES,REAL MADRID,10,30,0.33
12,JØRGEN STRAND LARSEN,RC CELTA,10,30,0.33
12,GERARD MORENO,VILLARREAL CF,10,27,0.37
12,WILLIAN JOSÉ DA SILVA,REAL BETIS,10,26,0.38
17,IÑAKI WILLIAMS,ATHLETIC CLUB,9,27,0.33
17,MYRTO UZUNI,GRANADA CF,9,29,0.31
17,SAMU OMORODION,DEPORTIVO ALAVÉS,9,29,0.31
20,MIKEL OYARZABAL,REAL SOCIEDAD,8,25,0.32
20,CRISTHIAN STUANI,GIRONA FC,8,28,0.29
20,SÁVIO MOREIRA DE OLIVEIRA,GIRONA FC,8,29,0.28
20,JOSÉ LUIS SANMARTÍN MATO,REAL MADRID,8,28,0.29
24,TAKEFUSA KUBO,REAL SOCIEDAD,7,23,0.3
24,ÁNGEL CORREA,ATLÉTICO DE MADRID,7,24,0.29
24,FERRAN TORRES,FC BARCELONA,7,22,0.32
27,SERGIO ARRIBAS,UD ALMERÍA,6,29,0.21
27,ÁLVARO GARCÍA,RAYO VALLECANO,6,26,0.23
27,KIRIAN RODRÍGUEZ,UD LAS PALMAS,6,29,0.21
27,VIKTOR TSYGANKOV,GIRONA FC,6,24,0.25
27,ALEX BERENGUER,ATHLETIC CLUB,6,27,0.22
27,JOSÉ LUÍS MORALES,VILLARREAL CF,6,23,0.26
27,FRANCISCO ROMÁN ALARCÓN SUÁREZ,REAL BETIS,6,24,0.25
27,MARCOS LLORENTE,ATLÉTICO DE MADRID,6,30,0.2
27,BRYAN ZARAGOZA,GRANADA CF,6,21,0.29
27,JOÃO FÉLIX SEQUEIRA,FC BARCELONA,6,23,0.26
27,MASON GREENWOOD,GETAFE CF,6,25,0.24
38,VEDAT MURIQI,RCD MALLORCA,5,22,0.23
38,IAGO ASPAS,RC CELTA,5,27,0.19
38,ILKAY GÜNDOGAN,FC BARCELONA,5,30,0.17
38,RAPHAEL DIAS BELLOLI,FC BARCELONA,5,22,0.23
38,CHRIS RAMOS,CÁDIZ CF,5,30,0.17
38,MEMPHIS DEPAY,ATLÉTICO DE MADRID,5,20,0.25
38,BRAHIM DÍAZ,REAL MADRID,5,25,0.2
38,LEONARDO MICALI CARRILHO BAPTISTÃO,UD ALMERÍA,5,24,0.21
38,ABDÓN PRATS,RCD MALLORCA,5,26,0.19
47,LUCAS OCAMPOS,SEVILLA FC,4,27,0.15
47,LUIS SUÁREZ,UD ALMERÍA,4,10,0.4
47,JAVI GUERRA,VALENCIA CF,4,28,0.14
47,JOSÉ LUIS GARCÍA VAYÁ,VALENCIA CF,4,30,0.13
47,BRAIS MÉNDEZ,REAL SOCIEDAD,4,27,0.15
47,MARTÍN ZUBIMENDI,REAL SOCIEDAD,4,29,0.14
47,IVÁN MARTÍN,GIRONA FC,4,29,0.14
47,YANGEL HERRERA,GIRONA FC,4,21,0.19
47,DANI CARVAJAL,REAL MADRID,4,23,0.17
47,JAIME MATA,GETAFE CF,4,27,0.15
47,NEMANJA MAKSIMOVIC,GETAFE CF,4,29,0.14
47,IKER MUÑOZ,CA OSASUNA,4,20,0.2
47,LAMINE YAMAL,FC BARCELONA,4,29,0.14
47,AYOZE PÉREZ,REAL BETIS,4,23,0.17
47,DARWIN MACHÍS,CÁDIZ CF,4,19,0.21
47,LUIS RIOJA,DEPORTIVO ALAVÉS,4,30,0.13
47,MIKEL MERINO,REAL SOCIEDAD,4,25,0.16
47,TASOS DOUVIKAS,RC CELTA,4,25,0.16
47,CRISTIAN PORTUGUÉS MANZANERA,GIRONA FC,4,28,0.14
66,LARGIE RAMAZANI,UD ALMERÍA,3,27,0.11
66,DIEGO LÓPEZ,VALENCIA CF,3,28,0.11
66,ISI PALAZÓN,RAYO VALLECANO,3,29,0.1
66,MUNIR EL HADDADI,UD LAS PALMAS,3,30,0.1
66,MARC CARDONA,UD LAS PALMAS,3,21,0.14
66,UMAR SADIQ,REAL SOCIEDAD,3,25,0.12
66,ANDER BARRENETXEA,REAL SOCIEDAD,3,21,0.14
66,ANTONIO RAÍLLO,RCD MALLORCA,3,18,0.17
66,ALEIX GARCÍA,GIRONA FC,3,29,0.1
66,NICHOLAS WILLIAMS ARTHUER,ATHLETIC CLUB,3,24,0.13
66,MIKEL VESGA,ATHLETIC CLUB,3,22,0.14
66,OIHAN SANCET,ATHLETIC CLUB,3,27,0.11
66,WILLIOT SWEDBERG,RC CELTA,3,10,0.3
66,JORGE CUENCA,VILLARREAL CF,3,23,0.13
66,KIKE GARCÍA,DEPORTIVO ALAVÉS,3,27,0.11
